RetainedRef	DuplicateRef
gm08474&EL192_RS07965&8079	gm08474&EL192_RS07965&8913
gm08018&WM48_RS13250&7660	gm08018&WM48_RS13250&14330
eco&B1474&2072	eco&B1474&3597
elo&EC042_RS25300&12515	elo&EC042_RS25300&12527
gm05977&AVR74_RS26035&6996	gm05977&AVR74_RS26035&6043
eci&UTI89_RS10635&1109	eci&UTI89_RS10635&2068
gm12304&A8V37_RS00410&16499	gm12304&A8V37_RS00410&10828
eco&B0805&1860	eco&B0805&2201
ecw&ECE24377A_RS25770&4143	ecw&ECE24377A_RS25770&9019
eco&B1634&6791	eco&B1634&5236
ece&Z_RS28710&1913	ece&Z_RS28710&1880
eco&B3654&8016	eco&B3654&5735
eco&B1323&2927	eco&B1323&6023
gm12779&CNQ50_RS17275&12795	gm12779&CNQ50_RS17275&26189
eum&ECUMN_3432&10896	eum&ECUMN_3432&6632
eoi&ECO111_RS30155&10784	eoi&ECO111_RS30155&2482
eco&B1241&5630	eco&B1241&6771
eco&B3734&9244	eco&B3734&8316
gm30906&IQS19_RS19530&20943	gm30906&IQS19_RS19530&17469
eco&B3729&10267	eco&B3729&8937
eco&B3729&10267	eco&B3729&7419
ecc&C_RS11665&12878	ecc&C_RS11665&12883
gm12273&RG45_RS20910&8681	gm12273&RG45_RS20910&14786
eco&B0905&6755	eco&B0905&5701
eco&B0465&3349	eco&B0465&2924
gm06492&RG26_RS12385&7955	gm06492&RG26_RS12385&8078
gm03591&PPECC33_RS22440&5064	gm03591&PPECC33_RS22440&5552
eci&UTI89_RS10825&5173	eci&UTI89_RS10825&8956
eco&B2697&8728	eco&B2697&7228
eco&B1805&7369	eco&B1805&7424
ece&Z_RS27635&13889	ece&Z_RS27635&27547
eco&B1783&7647	eco&B1783&5557
gm12311&BMI82_RS19600&12516	gm12311&BMI82_RS19600&12597
gm12311&BMI82_RS19600&12516	gm12311&BMI82_RS19600&13322
eco&B2806&8944	eco&B2806&7934
ece&Z_RS27625&16353	ece&Z_RS27625&2766
eok&G2583_RS26690&7479	eok&G2583_RS26690&5094
eco&B0496&4909	eco&B0496&3158
ecc&C_RS17210&6838	ecc&C_RS17210&6542
eco&B3578&2199	eco&B3578&1474
eco&B1468&2386	eco&B1468&1237
eco&B2234&8689	eco&B2234&2773
ecc&C_RS04610&73	ecc&C_RS04610&416
eco&B2780&7279	eco&B2780&8102
gm15073&C3F40_RS14570&12863	gm15073&C3F40_RS14570&8911
ecc&C_RS11660&16377	ecc&C_RS11660&12877
ecc&C_RS17220&6613	ecc&C_RS17220&7184
eco&B1856&6769	eco&B1856&6011
eco&B1492&12714	eco&B1492&16105
gm14306&AAF50_RS01100&13928	gm14306&AAF50_RS01100&12525
eco&B0575&2965	eco&B0575&5216
gm04170&ECVR50_RS16480&9375	gm04170&ECVR50_RS16480&7290
eco&B2240&3409	eco&B2240&4841
eco&B2933&4856	eco&B2933&5731
gm11664&RG30_RS09560&10787	gm11664&RG30_RS09560&17717
elw&ECW_RS11680&6265	elw&ECW_RS11680&2008
gm04140&AA102_RS03730&15020	gm04140&AA102_RS03730&12610
ese&ECSF_RS06225&12282	ese&ECSF_RS06225&13067
eco&B1851&8113	eco&B1851&7573
ecc&C_RS11675&6779	ecc&C_RS11675&22652
eco&B3988&5693	eco&B3988&5541
gm07953&RG48_RS20680&12519	gm07953&RG48_RS20680&17674
ecc&C_RS14390&984	ecc&C_RS14390&1100
eco&B2795&8792	eco&B2795&10076
eco&B2411&4842	eco&B2411&5540
ece&Z_RS02780&6142	ece&Z_RS02780&5920
ecx&ECHS_RS10295&1080	ecx&ECHS_RS10295&12067
eoi&ECO111_RS29030&7599	eoi&ECO111_RS29030&3358
eoi&ECO111_RS29030&7599	eoi&ECO111_RS29030&5047
eci&UTI89_RS10640&2819	eci&UTI89_RS10640&2721
eci&UTI89_RS10640&2819	eci&UTI89_RS10640&1718
eci&UTI89_RS10640&2819	eci&UTI89_RS10640&1988
eci&UTI89_RS10640&2819	eci&UTI89_RS10640&2780
eco&B1206&8117	eco&B1206&6738
