sp	name	type	source	subtype
eco	B2349	phage	virsorter	prophage-5
eco	B2350	phage	virsorter	prophage-5
eco	B2351	phage	virsorter	prophage-5
eco	B2348	phage	virsorter	prophage-5
eco	B2352	phage	virsorter	prophage-5
eco	B2353	phage	virsorter	prophage-5
eco	B2354	phage	virsorter	prophage-5
eco	B2355	phage	virsorter	prophage-5
eco	PL2243	phage	virsorter	prophage-5
eco	B2357	phage	virsorter	prophage-5
eco	B2358	phage	virsorter	prophage-5
eco	PL2246	phage	virsorter	prophage-5
eco	B2359	phage	virsorter	prophage-5
eco	B2360	phage	virsorter	prophage-5
eco	B2356	phage	virsorter	prophage-5
eco	B2361	phage	virsorter	prophage-5
eco	B2362	phage	virsorter	prophage-5
eco	B2363	phage	virsorter	prophage-5
eco	B4501	phage	virsorter	prophage-5
eco	B2364	phage	virsorter	prophage-5
eco	B2365	phage	virsorter	prophage-5
eco	B4545	phage	virsorter	prophage-5
eco	B4643	phage	virsorter	prophage-5
eco	B2366	phage	virsorter	prophage-5
eco	B2367	phage	virsorter	prophage-5
eco	B2368	phage	virsorter	prophage-5
eco	B2369	phage	virsorter	prophage-5
eco	B2370	phage	virsorter	prophage-5
eco	B2371	phage	virsorter	prophage-5
eco	B2372	phage	virsorter	prophage-5
eco	B2373	phage	virsorter	prophage-5
eco	B2374	phage	virsorter	prophage-5
eco	B2375	phage	virsorter	prophage-5
eco	B2376	phage	virsorter	prophage-5
eco	B2377	phage	virsorter	prophage-5
eco	PS3212	phage	virsorter	prophage-5
eco	B2378	phage	virsorter	prophage-5
eco	B4680	phage	virsorter	prophage-5
eco	B2379	phage	virsorter	prophage-5
eco	B2380	phage	virsorter	prophage-5
eco	B2381	phage	virsorter	prophage-5
eco	B2382	phage	virsorter	prophage-5
eco	B2383	phage	virsorter	prophage-5
eco	B2384	phage	virsorter	prophage-5
eco	B2385	phage	virsorter	prophage-5
eco	B2386	phage	virsorter	prophage-5
eco	B2387	phage	virsorter	prophage-5
eco	B2388	phage	virsorter	prophage-5
eco	B2389	phage	virsorter	prophage-5
eco	B2390	phage	virsorter	prophage-5
eco	B2392	phage	virsorter	prophage-5
eco	B2393	phage	virsorter	prophage-5
eco	B2394	phage	virsorter	prophage-5
eco	B2395	phage	virsorter	prophage-5
eco	TR71	phage	virsorter	prophage-5
eco	TR70	phage	virsorter	prophage-5
eco	B2398	phage	virsorter	prophage-5
eco	B2399	phage	virsorter	prophage-5
eco	B2400	phage	virsorter	prophage-5
eco	B2396	phage	virsorter	prophage-5
eco	B2397	phage	virsorter	prophage-5
eco	PL2286	phage	virsorter	prophage-5
eco	TR23	phage	virsorter	prophage-5
eco	TR24	phage	virsorter	prophage-5
eco	TR25	phage	virsorter	prophage-5
eco	TR26	phage	virsorter	prophage-5
eco	B2405	phage	virsorter	prophage-5
eco	ST2391	phage	virsorter	prophage-5
eco	B2406	phage	virsorter	prophage-5
eco	B2401	phage	virsorter	prophage-5
eco	B2402	phage	virsorter	prophage-5
eco	B2403	phage	virsorter	prophage-5
eco	B2404	phage	virsorter	prophage-5
eco	B2407	phage	virsorter	prophage-5
eco	B2408	phage	virsorter	prophage-5
eco	B2409	phage	virsorter	prophage-5
eco	B2410	phage	virsorter	prophage-5
eco	B4546	phage	virsorter	prophage-5
eco	B2411	phage	virsorter	prophage-5
eco	B2412	phage	virsorter	prophage-5
eco	B2413	phage	virsorter	prophage-5
eco	B2414	phage	virsorter	prophage-5
eco	PS3261	phage	virsorter	prophage-5
eco	B2415	phage	virsorter	prophage-5
eco	B2416	phage	virsorter	prophage-5
eco	B2417	phage	virsorter	prophage-5
eco	B2418	phage	virsorter	prophage-5
eco	B2419	phage	virsorter	prophage-5
eco	B2420	phage	virsorter	prophage-5
eco	B2421	phage	virsorter	prophage-5
eco	B2422	phage	virsorter	prophage-5
eco	B2423	phage	virsorter	prophage-5
eco	B2424	phage	virsorter	prophage-5
eco	B2425	phage	virsorter	prophage-5
eco	B2426	phage	virsorter	prophage-5
eco	B2427	phage	virsorter	prophage-5
eco	B2428	phage	virsorter	prophage-5
eco	B2429	phage	virsorter	prophage-5
eco	B2430	phage	virsorter	prophage-5
eco	B2431	phage	virsorter	prophage-5
eco	B2432	phage	virsorter	prophage-5
eco	B2433	phage	virsorter	prophage-5
eco	B2434	phage	virsorter	prophage-5
eco	B2435	phage	virsorter	prophage-5
eco	B2436	phage	virsorter	prophage-5
